id,fk_school,fk_user,display_name,fk_staff_reporting_officer,staff_id,is_removable,active,is_resigned,resigned_effective_at,created_at,updated_at,last_modified_user,last_valid_checkin
1,1,1,NULL,NULL,test new input,NULL,2,0,NULL,,19/03/2021 14:21,NULL,31/10/2020
3,1,5,NULL,NULL,Staff1,0,1,0,NULL,31/10/2020 23:12,19/03/2021 14:21,NULL,31/10/2020
4,2,7,NULL,NULL,Staff2,0,1,0,NULL,31/10/2020 23:12,19/03/2021 14:21,NULL,31/10/2020
5,1,12,NULL,NULL,Staff3,0,1,0,NULL,31/10/2020 23:12,19/03/2021 14:21,NULL,31/10/2020
6,1,10,NULL,NULL,Approver1,0,1,0,NULL,31/10/2020 23:12,19/03/2021 14:21,NULL,31/10/2020
7,2,11,NULL,NULL,Approver2,0,1,0,NULL,31/10/2020 23:12,19/03/2021 14:21,NULL,31/10/2020
8,1,15,NULL,NULL,kioskuser,0,1,0,NULL,31/10/2020 23:12,19/03/2021 14:21,NULL,31/10/2020
9,1,18,NULL,NULL,Teacher1,0,1,0,NULL,31/10/2020 23:12,19/03/2021 14:21,NULL,31/10/2020
10,1,19,NULL,NULL,Teacher2,0,1,0,NULL,31/10/2020 23:12,19/03/2021 14:21,NULL,31/10/2020
11,1,20,NULL,NULL,Teacher3,0,1,0,NULL,31/10/2020 23:12,19/03/2021 14:21,NULL,31/10/2020
12,1,21,NULL,NULL,Teacher4,0,1,0,NULL,31/10/2020 23:12,19/03/2021 14:21,NULL,31/10/2020
13,1,22,NULL,NULL,Principal1,0,1,0,NULL,31/10/2020 23:12,19/03/2021 14:21,NULL,31/10/2020
14,1,23,NULL,NULL,Principal2,0,1,0,NULL,31/10/2020 23:12,19/03/2021 14:21,NULL,31/10/2020
15,3,32,NULL,NULL,SA3,0,1,0,NULL,31/10/2020 23:12,19/03/2021 14:21,NULL,31/10/2020
16,1,83135,NULL,NULL,sn2dummy2+jas.cmz_x83135_xax_myfirstskool.com@gmail.com,1,1,0,NULL,01/11/2020 07:39,07/11/2024 11:34,NULL,01/11/2020
17,1,83136,NULL,NULL,sn2dummy2+syahrul.b_x83136_xax_myfirstskool.com@gmail.com,1,1,0,NULL,01/11/2020 07:39,07/11/2024 11:34,NULL,01/11/2020
18,1,83137,NULL,NULL,sn2dummy2+peishi.boh_x83137_xax_myfirstskool.com@gmail.com,1,1,0,NULL,01/11/2020 07:39,07/11/2024 11:34,NULL,01/11/2020
19,1,83138,NULL,NULL,sn2dummy2+filzah.mk_x83138_xax_myfirstskool.com@gmail.com,1,1,0,NULL,01/11/2020 07:39,07/11/2024 11:34,NULL,01/11/2020
